Source Port,Target Port,Distance
Port4,Ma'anshan,326.28470500000003
Port4,Wuhu,369.28470500000003
Nantong,Zhangjiagang,22.0
Nantong,Port5,35.348729
Nantong,Port6,38.213893999999996
Nantong,Jiangyin,58.0
Nantong,Gaogang,120.0
Nantong,Port7,170.972074
Nantong,Zhenjiang,175.0
Nantong,Port8,226.50921
Nantong,Port9,240.820929
Nantong,Nanjing,255.0
Nantong,Port10,275.397053
Nantong,Ma'anshan,301.0
Nantong,Wuhu,344.0
Zhangjiagang,Port5,13.348729
Zhangjiagang,Port6,16.213894
Zhangjiagang,Jiangyin,36.0
Zhangjiagang,Gaogang,98.0
Zhangjiagang,Port7,148.972074
Zhangjiagang,Zhenjiang,153.0
Zhangjiagang,Port8,204.50921
Zhangjiagang,Port9,218.820929
Zhangjiagang,Nanjing,233.0
Zhangjiagang,Port10,253.397053
Zhangjiagang,Ma'anshan,279.0
Zhangjiagang,Wuhu,322.0
Port5,Port6,2.865165
Port5,Jiangyin,22.651271
Port5,Gaogang,84.65127100000001
Port5,Port7,135.623345
Port5,Zhenjiang,139.651271
Port5,Port8,191.160481
Port5,Port9,205.47220000000002
Port5,Nanjing,219.651271
Port5,Port10,240.048324
Port5,Ma'anshan,265.651271
Port5,Wuhu,308.651271
Port6,Jiangyin,19.786106
Port6,Gaogang,81.786106
Port6,Port7,132.75818
Port6,Zhenjiang,136.78610600000002
Port6,Port8,188.295316
Port6,Port9,202.60703500000002
Port6,Nanjing,216.78610600000002
Port6,Port10,237.18315900000002
Port6,Ma'anshan,262.786106
Port6,Wuhu,305.786106
Jiangyin,Gaogang,62.0
Jiangyin,Port7,112.97207399999999
Jiangyin,Zhenjiang,116.99999999999999
Jiangyin,Port8,168.50921
Jiangyin,Port9,182.820929
Jiangyin,Nanjing,197.0
Jiangyin,Port10,217.397053
Jiangyin,Ma'anshan,243.0
Jiangyin,Wuhu,286.0
Gaogang,Port7,50.972074
Gaogang,Zhenjiang,55.0
Gaogang,Port8,106.50921
Gaogang,Port9,120.82092899999999
Gaogang,Nanjing,135.0
Gaogang,Port10,155.397053
Gaogang,Ma'anshan,181.0
Gaogang,Wuhu,224.0
Port7,Zhenjiang,4.027926
Port7,Port8,55.537136000000004
Port7,Port9,69.848855
Port7,Nanjing,84.02792600000001
Port7,Port10,104.42497900000001
Port7,Ma'anshan,130.027926
Port7,Wuhu,173.027926
Zhenjiang,Port8,51.50921
Zhenjiang,Port9,65.820929
Zhenjiang,Nanjing,80.0
Zhenjiang,Port10,100.397053
Zhenjiang,Ma'anshan,126.0
Zhenjiang,Wuhu,169.0
Port8,Port9,14.311719
Port8,Nanjing,28.49079
Port8,Port10,48.887843000000004
Port8,Ma'anshan,74.49079
Port8,Wuhu,117.49079
Port9,Nanjing,14.179071
Port9,Port10,34.576124
Port9,Ma'anshan,60.179071
Port9,Wuhu,103.179071
Nanjing,Port10,20.397053
Nanjing,Ma'anshan,46.0
Nanjing,Wuhu,89.0
Port10,Ma'anshan,25.602947
Port10,Wuhu,68.602947
Ma'anshan,Wuhu,43.0
