Source Port,Target Port,Distance
Zhangjiagang,Wuhu,322
Zhangjiagang,Hefei,456
Zhangjiagang,Tongling,416
Zhangjiagang,Chizhou,456
Zhangjiagang,Anqing,514
Zhangjiagang,Jiujiang,667
Zhangjiagang,Nanchang,831
Zhangjiagang,Huangshi,783
Zhangjiagang,Huanggang,815
Zhangjiagang,Wuhan,912
Zhangjiagang,Jiayu,1039
Zhangjiagang,Honghu,1084
Zhangjiagang,Chenglingji,1140
Zhangjiagang,Changsha,1371
Zhangjiagang,Jingzhou,1536
Zhangjiagang,Yichang,1703
Zhangjiagang,Chongqing,2363
Jiangyin,Gaogang,62
Jiangyin,Zhenjiang,117
Jiangyin,Nanjing,197
Jiangyin,Ma'anshan,243
Jiangyin,Wuhu,286
Jiangyin,Hefei,420
Jiangyin,Tongling,380
Jiangyin,Chizhou,420
Jiangyin,Anqing,478
Jiangyin,Jiujiang,631
Jiangyin,Nanchang,795
Jiangyin,Huangshi,747
Jiangyin,Huanggang,779
Jiangyin,Wuhan,876
Jiangyin,Jiayu,1003
Jiangyin,Honghu,1048
Jiangyin,Chenglingji,1104
Jiangyin,Changsha,1335
Jiangyin,Jingzhou,1500
Jiangyin,Yichang,1667
Jiangyin,Chongqing,2327
Gaogang,Zhenjiang,55
Gaogang,Nanjing,135
Gaogang,Ma'anshan,181
Gaogang,Wuhu,224
Gaogang,Hefei,358
Gaogang,Tongling,318
Gaogang,Chizhou,358
Gaogang,Anqing,416
Gaogang,Jiujiang,569
Gaogang,Nanchang,733
Gaogang,Huangshi,685
Gaogang,Huanggang,717
Gaogang,Wuhan,814
Gaogang,Jiayu,941
Gaogang,Honghu,986
Gaogang,Chenglingji,1042
Gaogang,Changsha,1273
Gaogang,Jingzhou,1438
Gaogang,Yichang,1605
Gaogang,Chongqing,2265
Zhenjiang,Nanjing,80
Zhenjiang,Ma'anshan,126
Zhenjiang,Wuhu,169
Zhenjiang,Hefei,303
Zhenjiang,Tongling,263
Zhenjiang,Chizhou,303
Zhenjiang,Anqing,361
Zhenjiang,Jiujiang,514
Zhenjiang,Nanchang,678
Zhenjiang,Huangshi,630
Zhenjiang,Huanggang,662
Zhenjiang,Wuhan,759
Zhenjiang,Jiayu,886
Zhenjiang,Honghu,931
Zhenjiang,Chenglingji,987
Zhenjiang,Changsha,1218
Zhenjiang,Jingzhou,1383
Zhenjiang,Yichang,1550
Zhenjiang,Chongqing,2210
Nanjing,Ma'anshan,46
Nanjing,Wuhu,89
Nanjing,Hefei,223
Nanjing,Tongling,183
Nanjing,Chizhou,223
Nanjing,Anqing,281
Nanjing,Jiujiang,434
Nanjing,Nanchang,598
Nanjing,Huangshi,550
Nanjing,Huanggang,582
Nanjing,Wuhan,679
Nanjing,Jiayu,806
Nanjing,Honghu,851
Nanjing,Chenglingji,907
Nanjing,Changsha,1138
Nanjing,Jingzhou,1303
Nanjing,Yichang,1470
Nanjing,Chongqing,2130
Ma'anshan,Wuhu,43
Ma'anshan,Hefei,177
Ma'anshan,Tongling,137
Ma'anshan,Chizhou,177
Ma'anshan,Anqing,235
Ma'anshan,Jiujiang,388
Ma'anshan,Nanchang,552
Ma'anshan,Huangshi,504
Ma'anshan,Huanggang,536
Ma'anshan,Wuhan,633
Ma'anshan,Jiayu,760
Ma'anshan,Honghu,805
Ma'anshan,Chenglingji,861
Ma'anshan,Changsha,1092
Ma'anshan,Jingzhou,1257
Ma'anshan,Yichang,1424
Ma'anshan,Chongqing,2084
Wuhu,Hefei,134
Wuhu,Tongling,94
Wuhu,Chizhou,134
Wuhu,Anqing,192
Wuhu,Jiujiang,345
Wuhu,Nanchang,509
Wuhu,Huangshi,461
Wuhu,Huanggang,493
Wuhu,Wuhan,590
Wuhu,Jiayu,717
Wuhu,Honghu,762
Wuhu,Chenglingji,818
Wuhu,Changsha,1049
Wuhu,Jingzhou,1214
Wuhu,Yichang,1381
Wuhu,Chongqing,2041
Hefei,Tongling,228
Hefei,Chizhou,268
Hefei,Anqing,326
Hefei,Jiujiang,479
Hefei,Nanchang,643
Hefei,Huangshi,595
Hefei,Huanggang,627
Hefei,Wuhan,724
Hefei,Jiayu,851
Hefei,Honghu,896
Hefei,Chenglingji,952
Hefei,Changsha,1183
Hefei,Jingzhou,1348
Hefei,Yichang,1515
Hefei,Chongqing,2175
Tongling,Chizhou,40
Tongling,Anqing,98
Tongling,Jiujiang,251
Tongling,Nanchang,415
Tongling,Huangshi,367
Tongling,Huanggang,399
Tongling,Wuhan,496
Tongling,Jiayu,623
Tongling,Honghu,668
Tongling,Chenglingji,724
Tongling,Changsha,955
Tongling,Jingzhou,1120
Tongling,Yichang,1287
Tongling,Chongqing,1947
Chizhou,Anqing,58
Chizhou,Jiujiang,211
Chizhou,Nanchang,375
Chizhou,Huangshi,327
Chizhou,Huanggang,359
Chizhou,Wuhan,456
Chizhou,Jiayu,583
Chizhou,Honghu,628
Chizhou,Chenglingji,684
Chizhou,Changsha,915
Chizhou,Jingzhou,1080
Chizhou,Yichang,1247
Chizhou,Chongqing,1907
Anqing,Jiujiang,153
Anqing,Nanchang,317
Anqing,Huangshi,269
Anqing,Huanggang,301
Anqing,Wuhan,398
Anqing,Jiayu,525
Anqing,Honghu,570
Anqing,Chenglingji,626
Anqing,Changsha,857
Anqing,Jingzhou,1022
Anqing,Yichang,1189
Anqing,Chongqing,1849
Jiujiang,Nanchang,164
Jiujiang,Huangshi,116
Jiujiang,Huanggang,148
Jiujiang,Wuhan,245
Jiujiang,Jiayu,372
Jiujiang,Honghu,417
Jiujiang,Chenglingji,473
Jiujiang,Changsha,704
Jiujiang,Jingzhou,869
Jiujiang,Yichang,1036
Jiujiang,Chongqing,1696
Nanchang,Huangshi,280
Nanchang,Huanggang,312
Nanchang,Wuhan,409
Nanchang,Jiayu,536
Nanchang,Honghu,581
Nanchang,Chenglingji,637
Nanchang,Changsha,868
Nanchang,Jingzhou,1033
Nanchang,Yichang,1200
Nanchang,Chongqing,1860
Huangshi,Huanggang,32
Huangshi,Wuhan,129
Huangshi,Jiayu,256
Huangshi,Honghu,301
Huangshi,Chenglingji,357
Huangshi,Changsha,588
Huangshi,Jingzhou,753
Huangshi,Yichang,920
Huangshi,Chongqing,1580
Huanggang,Wuhan,97
Huanggang,Jiayu,224
Huanggang,Honghu,269
Huanggang,Chenglingji,325
Huanggang,Changsha,556
Huanggang,Jingzhou,721
Huanggang,Yichang,888
Huanggang,Chongqing,1548
Wuhan,Jiayu,127
Wuhan,Honghu,172
Wuhan,Chenglingji,228
Wuhan,Changsha,459
Wuhan,Jingzhou,624
Wuhan,Yichang,791
Wuhan,Chongqing,1451
Jiayu,Honghu,45
Jiayu,Chenglingji,101
Jiayu,Changsha,332
Jiayu,Jingzhou,497
Jiayu,Yichang,664
Jiayu,Chongqing,1324
Honghu,Chenglingji,56
Honghu,Changsha,287
Honghu,Jingzhou,452
Honghu,Yichang,619
Honghu,Chongqing,1279
Chenglingji,Changsha,231
Chenglingji,Jingzhou,396
Chenglingji,Yichang,563
Chenglingji,Chongqing,1223
Changsha,Jingzhou,627
Changsha,Yichang,794
Changsha,Chongqing,1454
Jingzhou,Yichang,167
Jingzhou,Chongqing,827
Yichang,Chongqing,660
