,Shanghai,Changshu,Port1,Nantong,Zhangjiagang,Jiangyin,Gaogang,Zhenjiang,Nanjing,Ma'anshan,Wuhu,Hefei,Port2,Tongling,Chizhou,Anqing,Jiujiang,Nanchang,Huangshi,Port3,Huanggang,Wuhan,Jiayu,Port4,Honghu,Chenglingji,Changsha,Jingzhou,Yichang,Chongqing
Wuhu,439.0,373.0,348.10066,344.0,322.0,286.0,224.0,169.0,89.0,43.0,0.0,134.0,65.552595,94.0,134.0,192.0,345.0,509.0,461.0,464.013675,493.0,590.0,717.0,760.903006,762.0,818.0,1049.0,1214.0,1381.0,2041.0
Hefei,573.0,507.0,482.10066,478.0,456.0,420.0,358.0,303.0,223.0,177.0,134.0,0.0,199.552595,228.0,268.0,326.0,479.0,643.0,595.0,598.013675,627.0,724.0,851.0,894.903006,896.0,952.0,1183.0,1348.0,1515.0,2175.0
Port2,504.552595,438.552595,413.653255,409.552595,387.552595,351.552595,289.552595,234.552595,154.552595,108.552595,65.552595,199.552595,0.0,28.447405,68.447405,126.447405,279.447405,443.447405,395.447405,398.46108,427.447405,524.447405,651.447405,695.350411,696.447405,752.447405,983.447405,1148.447405,1315.447405,1975.447405
Tongling,533.0,467.0,442.10066,438.0,416.0,380.0,318.0,263.0,183.0,137.0,94.0,228.0,28.447405,0.0,40.0,98.0,251.0,415.0,367.0,370.013675,399.0,496.0,623.0,666.903006,668.0,724.0,955.0,1120.0,1287.0,1947.0
Chizhou,573.0,507.0,482.10066,478.0,456.0,420.0,358.0,303.0,223.0,177.0,134.0,268.0,68.447405,40.0,0.0,58.0,211.0,375.0,327.0,330.013675,359.0,456.0,583.0,626.903006,628.0,684.0,915.0,1080.0,1247.0,1907.0
Anqing,631.0,565.0,540.1006600000001,536.0,514.0,478.0,416.0,361.0,281.0,235.0,192.0,326.0,126.447405,98.0,58.0,0.0,153.0,317.0,269.0,272.013675,301.0,398.0,525.0,568.903006,570.0,626.0,857.0,1022.0,1189.0,1849.0
Jiujiang,784.0,718.0,693.1006600000001,689.0,667.0,631.0,569.0,514.0,434.0,388.0,345.0,479.0,279.447405,251.0,211.0,153.0,0.0,164.0,116.0,119.013675,148.0,245.0,372.0,415.903006,417.0,473.0,704.0,869.0,1036.0,1696.0
Nanchang,948.0,882.0,857.1006600000001,853.0,831.0,795.0,733.0,678.0,598.0,552.0,509.0,643.0,443.447405,415.0,375.0,317.0,164.0,0.0,280.0,283.013675,312.0,409.0,536.0,579.903006,581.0,637.0,868.0,1033.0,1200.0,1860.0
Huangshi,900.0,834.0,809.1006600000001,805.0,783.0,747.0,685.0,630.0,550.0,504.0,461.0,595.0,395.447405,367.0,327.0,269.0,116.0,280.0,0.0,3.013675,32.0,129.0,256.0,299.903006,301.0,357.0,588.0,753.0,920.0,1580.0
Port3,903.013675,837.013675,812.1143350000001,808.013675,786.013675,750.013675,688.013675,633.013675,553.013675,507.013675,464.013675,598.013675,398.46108,370.013675,330.013675,272.013675,119.013675,283.013675,3.013675,0.0,28.986325,125.986325,252.986325,296.889331,297.986325,353.986325,584.986325,749.986325,916.986325,1576.986325
Huanggang,932.0,866.0,841.1006600000001,837.0,815.0,779.0,717.0,662.0,582.0,536.0,493.0,627.0,427.447405,399.0,359.0,301.0,148.0,312.0,32.0,28.986325,0.0,97.0,224.0,267.903006,269.0,325.0,556.0,721.0,888.0,1548.0
Wuhan,1029.0,963.0,938.10066,934.0,912.0,876.0,814.0,759.0,679.0,633.0,590.0,724.0,524.447405,496.0,456.0,398.0,245.0,409.0,129.0,125.986325,97.0,0.0,127.0,170.903006,172.0,228.0,459.0,624.0,791.0,1451.0
Jiayu,1156.0,1090.0,1065.10066,1061.0,1039.0,1003.0,941.0,886.0,806.0,760.0,717.0,851.0,651.447405,623.0,583.0,525.0,372.0,536.0,256.0,252.986325,224.0,127.0,0.0,43.903006,45.0,101.0,332.0,497.0,664.0,1324.0
Port4,1199.903006,1133.903006,1109.003666,1104.903006,1082.903006,1046.903006,984.903006,929.903006,849.903006,803.903006,760.903006,894.903006,695.350411,666.903006,626.903006,568.903006,415.903006,579.903006,299.903006,296.889331,267.903006,170.903006,43.903006,0.0,1.096994,57.096994,288.096994,453.096994,620.096994,1280.096994
Honghu,1201.0,1135.0,1110.10066,1106.0,1084.0,1048.0,986.0,931.0,851.0,805.0,762.0,896.0,696.447405,668.0,628.0,570.0,417.0,581.0,301.0,297.986325,269.0,172.0,45.0,1.096994,0.0,56.0,287.0,452.0,619.0,1279.0
Chenglingji,1257.0,1191.0,1166.10066,1162.0,1140.0,1104.0,1042.0,987.0,907.0,861.0,818.0,952.0,752.447405,724.0,684.0,626.0,473.0,637.0,357.0,353.986325,325.0,228.0,101.0,57.096994,56.0,0.0,231.0,396.0,563.0,1223.0
Changsha,1488.0,1422.0,1397.10066,1393.0,1371.0,1335.0,1273.0,1218.0,1138.0,1092.0,1049.0,1183.0,983.447405,955.0,915.0,857.0,704.0,868.0,588.0,584.986325,556.0,459.0,332.0,288.096994,287.0,231.0,0.0,627.0,794.0,1454.0
Jingzhou,1653.0,1587.0,1562.10066,1558.0,1536.0,1500.0,1438.0,1383.0,1303.0,1257.0,1214.0,1348.0,1148.447405,1120.0,1080.0,1022.0,869.0,1033.0,753.0,749.986325,721.0,624.0,497.0,453.096994,452.0,396.0,627.0,0.0,167.0,827.0
Yichang,1820.0,1754.0,1729.10066,1725.0,1703.0,1667.0,1605.0,1550.0,1470.0,1424.0,1381.0,1515.0,1315.447405,1287.0,1247.0,1189.0,1036.0,1200.0,920.0,916.986325,888.0,791.0,664.0,620.096994,619.0,563.0,794.0,167.0,0.0,660.0
Chongqing,2480.0,2414.0,2389.10066,2385.0,2363.0,2327.0,2265.0,2210.0,2130.0,2084.0,2041.0,2175.0,1975.447405,1947.0,1907.0,1849.0,1696.0,1860.0,1580.0,1576.986325,1548.0,1451.0,1324.0,1280.096994,1279.0,1223.0,1454.0,827.0,660.0,0.0
